Job Title,Organisation,Monthly Payment,Contract Type,Category,Closing,Location,Full-Time Equivalent (FTE),Opening
Corporate Internal Account Manager,COMPUTER 2000,1916.67,Permanent,Sales,2014-01-05 00:00:00,Basingstoke,,2013-12-06 00:00:00
Project Associate  Electrical,Vertical Recruitment,3958.33,Permanent,Engineering,2013-04-29 15:00:00,UK,,2013-02-28 15:00:00
EChannel Executive,Blue Arrow,1437.5,Fixed Term Contract,Engineering,2012-04-04 12:00:00,Warwick,,2012-03-05 12:00:00
Negotiator  Banbury,Selection Matters Ltd,1000.0,Permanent,Sales,2012-09-02 15:00:00,Banbury,,2012-06-04 15:00:00
CNC Setter/Operator/Programmer (Milling),Mobius Resourcing,1878.33,Permanent,Engineering,2013-03-21 12:00:00,UK,,2013-02-19 12:00:00
Care Worker/Care Assistant Jobs in Maidstone,Bluebird Care,1500.0,Permanent,Healthcare and Nursing,2012-08-13 00:00:00,Maidstone,,2012-07-14 00:00:00
Care Worker/Care Assistant Jobs in Tonbridge & Tunbridge Wells,Bluebird Care,1500.0,Permanent,Healthcare and Nursing,2013-04-04 00:00:00,Tonbridge,,2013-03-05 00:00:00
Digital Marketing Business Development Manager,Marstep,3333.33,Permanent,Sales,2012-06-04 00:00:00,South East London,,2012-03-06 00:00:00
Skilled CNC setter,First Personnel Services plc,1725.58,Fixed Term Contract,Engineering,2012-09-25 15:00:00,Accrington,,2012-07-27 15:00:00
Embedded Software Design Engineer,Akton Recruitment,3125.0,Permanent,Engineering,2013-07-30 00:00:00,Northamptonshire,,2013-05-31 00:00:00
CHEFS OF ALL LEVELS OXFORDSHIRE COMMIS TO EXEC,Support Services Group,2250.0,Permanent,Hospitality and Catering,2012-05-27 12:00:00,Oxfordshire,,2012-03-28 12:00:00
Quality Control Technician (Sheet metal),Rise Technical Recruitment Ltd,1875.0,Permanent,Engineering,2013-11-14 12:00:00,Huddersfield,,2013-09-15 12:00:00
Commercial Temps Consultant – Aberdeen,Fresh Partnership,1958.33,Permanent,Sales,2013-06-30 00:00:00,Aberdeen,,2013-05-31 00:00:00
Process Engineer (FMCG),Rise Technical Recruitment Ltd,3208.33,Permanent,Engineering,2013-07-22 12:00:00,Fareham,,2013-05-23 12:00:00
Graduate Business Development Executive – Central London and Mancheste,Celsius Recruitment,2500.0,Permanent,Sales,2012-09-08 15:00:00,South East London,,2012-07-10 15:00:00
Buyer  6 month contract,Skillframe Ltd.,2708.33,Fixed Term Contract,Engineering,2013-10-06 12:00:00,Weybridge,,2013-08-07 12:00:00
Senior Practitioner  Long Term Team  Dartford,Just Specialist Recruitment,4960.0,Fixed Term Contract,Healthcare and Nursing,2013-01-13 15:00:00,Dartford,,2012-12-14 15:00:00
Multi Skilled Field Service Engineer  Packaging,CSL Developments Ltd,2583.33,Permanent,Engineering,2013-04-30 00:00:00,UK,,2013-03-31 00:00:00
Residential Care Assistants,Act Recruit,1184.0,Permanent,Healthcare and Nursing,2013-02-04 12:00:00,Ferndown,,2012-11-06 12:00:00
Senior PLC Engineer,SELECTIVE RECRUITMENT LIMITED,3333.33,Permanent,Engineering,2013-10-05 12:00:00,UK,,2013-08-06 12:00:00
Sales Rep Medical Devices (other backgrounds or trainees considered),The GxP Recruitment Company Limited,2750.0,Permanent,Sales,2013-01-06 12:00:00,Yorkshire and Humberside,,2012-10-08 12:00:00
UPVC Fabricator,MTrec,990.33,Fixed Term Contract,Engineering,2012-01-28 12:00:00,Newcastle Upon Tyne,,2012-01-14 12:00:00
Intermediate Electrical Design Engineer (Building Services),Parkinson Gray Associates,2291.67,Permanent,Engineering,2012-06-07 15:00:00,Leeds,,2012-03-09 15:00:00
Commercial Manager / Business Intelligence Manager  Lancashire,Jonathan Lee Commercial,3750.0,Permanent,Sales,2013-10-20 12:00:00,Lancashire,,2013-08-21 12:00:00
Sales & Lettings Manager (Branch Manager),Jobwise,1583.33,Permanent,Sales,2013-09-03 12:00:00,Liverpool,,2013-06-05 12:00:00
Building Services CAD Engineer,Harniss Ltd,2333.33,Permanent,Engineering,2012-11-15 12:00:00,Northampton,,2012-08-17 12:00:00
Section Engineer (Highways),AndersElite,2729.17,Permanent,Engineering,2013-06-01 15:00:00,Nottingham,,2013-03-03 15:00:00
Registered Manager  Young People EBD,SCR Recruitment Ltd,2333.33,Permanent,Healthcare and Nursing,2012-07-28 00:00:00,Gloucester,,2012-05-29 00:00:00
Specialist Advisor NCP,Spring Personnel,1250.0,Permanent,Sales,2013-04-09 12:00:00,Sheffield,,2013-03-10 12:00:00
Electrical Shift Multiskilled Maintenance Technician,DUTTON INTERNATIONAL LIMITED,2439.5,Permanent,Engineering,2013-05-17 00:00:00,Gainsborough,,2013-02-16 00:00:00
Electrical ( Power) lecturers & Tutors,Chase Resourcing Ltd,3958.33,Permanent,Engineering,2013-04-30 12:00:00,UK,,2013-03-31 12:00:00
IT SALES – ACCOUNT MANAGER  ERP & FINANCIAL / ACCOUNTING SOFTWARE,Howard Jackson,4791.67,Permanent,Sales,2013-07-31 12:00:00,West Midlands,,2013-05-02 12:00:00
Automotive Sales Engineer,Premiere People   Daventry,2333.33,Permanent,Engineering,2012-06-15 00:00:00,Milton Keynes,,2012-04-16 00:00:00
Hays Assoc/Rec Con/Snr Recruitment Consultant Liverpool,Hays Internal Recruitment,1687.5,Permanent,Sales,2012-11-14 12:00:00,Liverpool,,2012-08-16 12:00:00
Experienced Machinist Vertical Borer (Heavy Engineering),Morson International.,1666.67,Permanent,Engineering,2013-08-10 12:00:00,UK,,2013-06-11 12:00:00
Hays Recruitment Manager Warrington,Hays Internal Recruitment,2333.33,Permanent,Sales,2012-11-25 00:00:00,Warrington,,2012-10-26 00:00:00
Opiekun do domu opieki,Just Social Care,1440.0,Fixed Term Contract,Healthcare and Nursing,2014-01-18 15:00:00,Surrey,,2013-12-19 15:00:00
Urgently needed care assistant,Just Specialist Recruitment,1280.0,Fixed Term Contract,Healthcare and Nursing,2014-01-06 00:00:00,Kent,,2013-12-23 00:00:00
CNC Machining Milling Operator / Programmer (Hurco),Pathway Resourcing,1250.0,Permanent,Engineering,2012-06-04 15:00:00,Huddersfield,,2012-03-06 15:00:00
Deputy Branch Manager  Folkestone,Carewatch,2083.33,Permanent,Healthcare and Nursing,2014-02-14 15:00:00,Folkestone,,2013-11-16 15:00:00
Platform Leader Continuous Improvement Electronics,Enterprise Recruitment,2500.0,Permanent,Engineering,2014-02-05 12:00:00,UK,,2013-12-07 12:00:00
Estate Agent Sales Manager,Kings Permanent Recruitment,2333.33,Permanent,Sales,2012-06-13 12:00:00,UK,,2012-04-14 12:00:00
"Planning Engineer, programming",Gold Group Ltd.,4375.0,Permanent,Engineering,2012-02-11 12:00:00,London,,2012-01-12 12:00:00
"Financial Analyst  Whetstone, Leicestershire",Tribepost Ltd,2708.33,Permanent,Finance and Accounting,2014-01-21 00:00:00,Leicester,,2013-10-23 00:00:00
QC Engineer,Oakland House Recruitment,1625.0,Permanent,Engineering,2014-01-02 15:00:00,Stoke-On-Trent,,2013-12-03 15:00:00
Workshop Controller  Vauxhall Chesterfield,Vertu Motors Plc,2041.67,Permanent,Engineering,2013-10-21 00:00:00,Chesterfield,,2013-09-21 00:00:00
Test Technician – Product Testing,Euro Projects Recruitment,2083.33,Permanent,Engineering,2013-04-06 12:00:00,Oxfordshire,,2013-03-07 12:00:00
Product Specialist  Business Development,Dane Partnership,3395.83,Permanent,Sales,2012-06-02 00:00:00,Basingstoke,,2012-04-03 00:00:00
Standards Manager,ATA,3416.67,Permanent,Engineering,2013-06-14 00:00:00,Liverpool,,2013-03-16 00:00:00
Technical Sales Manager  Scotland located,Prospero Recruitment,3333.33,Permanent,Engineering,2012-08-29 15:00:00,Scotland,,2012-05-31 15:00:00
Grade B  Support Worker,BROOK STREET BUREAU   Hammersmith Care,1853.42,Permanent,Healthcare and Nursing,2012-05-20 12:00:00,North Lambeth,,2012-03-21 12:00:00
Major Account Development Manager UK & Northern Europe,Louis Hampshire,3750.0,Permanent,Sales,2013-09-01 15:00:00,South East London,,2013-08-02 15:00:00
Technical Sales Executive – Excellent career progression,FDM Group Ltd,1583.33,Permanent,Sales,2013-11-04 12:00:00,London,,2013-09-05 12:00:00
CHP Project Manager  South East,Hammond Recruitment,3541.67,Permanent,Engineering,2012-04-23 15:00:00,South East London,,2012-03-24 15:00:00
Business Development Manager  Water Treatment NorthWest,Hammond Recruitment,2708.33,Permanent,Sales,2012-09-30 15:00:00,Lancashire,,2012-07-02 15:00:00
Project Engineer / Engineering Team Leader,Synergi Search & Selection,3041.67,Permanent,Engineering,2013-11-26 00:00:00,Milton Keynes,,2013-09-27 00:00:00
Electrical bias Multi Skilled Engineer,Skilled Careers,2583.33,Permanent,Engineering,2013-08-18 12:00:00,South East London,,2013-05-20 12:00:00
Clock Engineer,Kurtis james recruitment,1708.33,Permanent,Engineering,2013-10-18 00:00:00,Slough,,2013-07-20 00:00:00
Experienced Sales Executive  Citroen Leicester,Vertu Motors Plc,1958.33,Permanent,Engineering,2012-04-10 15:00:00,Leicester,,2012-02-10 15:00:00
Sales and Lettings Negotiator,GCB Agency Recruitment,1041.67,Permanent,Sales,2012-11-16 00:00:00,UK,,2012-08-18 00:00:00
Early Years Specialists,Celsian Education,2200.0,Fixed Term Contract,Teaching,2013-06-02 12:00:00,Gateshead,,2013-04-03 12:00:00
VEHICLE TECHNICIAN HUDDERSFIELD,Vision Recruitment and Development Limited,1750.0,Permanent,Engineering,2012-07-28 15:00:00,Huddersfield,,2012-04-29 15:00:00
Trainee Pensions Administrator,Alexander Lloyd   Compliance & Financial Services,1333.33,Permanent,Finance and Accounting,2013-10-24 00:00:00,Salisbury,,2013-08-25 00:00:00
Branch Manager/Valuer,AMR Yorkshire ,2916.67,Permanent,Sales,2013-02-12 12:00:00,North Yorkshire,,2012-11-14 12:00:00
AV Systems Programmer (Crestron / AMX),Creative Personnel,3541.67,Permanent,Engineering,2012-03-16 00:00:00,Kent,,2012-01-16 00:00:00
Business Development Execs Amazing company,Juice Recruitment Ltd,1708.33,Permanent,Sales,2012-08-12 15:00:00,Melksham,,2012-07-13 15:00:00
"Calling all sales execs Fantastic role, not to be missed",Juice Recruitment Ltd,1729.17,Permanent,Sales,2012-09-09 12:00:00,Swindon,,2012-08-10 12:00:00
Installation Engineer  Fire & Security  East Sussex,Anderson Webber,2166.67,Permanent,Engineering,2014-02-14 12:00:00,East Sussex,,2013-11-16 12:00:00
Installation Engineer  Fire & Security  West Sussex,Anderson Webber,2166.67,Permanent,Engineering,2014-01-28 00:00:00,West Sussex,,2013-12-29 00:00:00
"Sales Manager, New Homes",Blayze Group,3333.33,Permanent,Sales,2013-04-30 15:00:00,South East London,,2013-03-01 15:00:00
"Project Draughts Person  Lincoln, Lincolnshire",Tribepost Ltd,2166.67,Permanent,Engineering,2013-06-10 00:00:00,Lincoln,,2013-04-11 00:00:00
Fork Lift  Side Loader,Randstad,1065.58,Fixed Term Contract,Engineering,2012-07-20 12:00:00,UK,,2012-06-20 12:00:00
Temporary Maintenance Electrician,MTrec,2516.67,Fixed Term Contract,Engineering,2012-02-22 12:00:00,UK,,2012-01-23 12:00:00
Health and Social Care Internal Verifier,Greengrape Solutions,2083.33,Permanent,Healthcare and Nursing,2013-07-03 12:00:00,Sheffield,,2013-06-03 12:00:00
Senior Sales Executive  Brighton/Field Based,HEALTHCARE AT HOME LTD,3125.0,Permanent,Sales,2013-01-18 15:00:00,Brighton,,2012-10-20 15:00:00
Dementia/Nursing Manager  Woking,Hammond Recruitment,2916.67,Permanent,Healthcare and Nursing,2012-06-26 00:00:00,Woking,,2012-03-28 00:00:00
Qualified Social Worker  Older / Hospital,Synergy,3600.0,Fixed Term Contract,Healthcare and Nursing,2013-01-15 00:00:00,Merseyside,,2012-12-16 00:00:00
Service Delivery Manager ITIL,Heat Recruitment,2958.33,Permanent,Information Technology,2014-02-17 15:00:00,Milton Keynes,,2013-12-19 15:00:00
Design Engineer/ Solidworks/ Process / ****'**** / Lichfield,Concept IT,2458.33,Permanent,Engineering,2013-03-26 12:00:00,Lichfield,,2013-02-24 12:00:00
planning Coordinator 4 Month Contract,England Associates,3833.33,Fixed Term Contract,Engineering,2013-06-27 12:00:00,UK,,2013-04-28 12:00:00
QA / Environmental Assessor  Construction or Civil Engineering,Informatiq,3166.67,Permanent,Engineering,2013-12-22 15:00:00,Yorkshire and Humberside,,2013-09-23 15:00:00
Sales Administrator  Full Time,LMR Recruitment,1333.33,Permanent,Sales,2012-06-27 00:00:00,Northamptonshire,,2012-03-29 00:00:00
Senior Assembly FitterMechanical,Downtown Recruitment,1583.33,Permanent,Engineering,2012-05-18 15:00:00,Oxfordshire,,2012-04-18 15:00:00
Senior IT Sales Recruitment Consultant,Capital Strategy,2083.33,Permanent,Sales,2012-10-11 00:00:00,South East London,,2012-09-11 00:00:00
Assessor Health & Social care  Essex (Chelmsford/Romford),Morello Recruitment Solutions,1875.0,Permanent,Healthcare and Nursing,2012-06-24 00:00:00,UK,,2012-03-26 00:00:00
Service Engineer  Fire & Security  London,Anderson Webber,2000.0,Permanent,Engineering,2012-10-18 15:00:00,South East London,,2012-08-19 15:00:00
"Campaign Performance Manager, Award Winning Employer Search Marketing",ReachLocal UK Ltd,2708.33,Permanent,Information Technology,2012-04-23 12:00:00,East Sheen,,2012-01-24 12:00:00
Service Engineer  Fire & Security  Milton Keynes,Anderson Webber,2000.0,Permanent,Engineering,2013-02-08 15:00:00,Milton Keynes,,2012-12-10 15:00:00
SKILLED SURFACE / SLIDEWAY GRINDER,Candidate Source Ltd,1791.67,Permanent,Engineering,2012-12-26 00:00:00,UK,,2012-09-27 00:00:00
Technical Sales Engineer – German Speaker,Uno Executive Recruitment Limited,4166.67,Permanent,Sales,2012-04-21 00:00:00,Sheffield,,2012-02-21 00:00:00
M&E Maintenance Supervisor,Boden Resource,3125.0,Permanent,Engineering,2013-06-24 15:00:00,Aylesbury,,2013-04-25 15:00:00
Care worker  Stokesley and Surrounding areas,Saga Homecare,990.33,Permanent,Healthcare and Nursing,2012-08-05 00:00:00,Marton-In-Cleveland,,2012-07-06 00:00:00
Contract Manager  Hard FM,Boden Resource,3958.33,Permanent,Engineering,2013-03-31 15:00:00,London,,2013-01-30 15:00:00
Weighing Equipment S/West Sales ManagerUp to ****K (****KOTE),Hammond Recruitment,2708.33,Permanent,Sales,2012-12-31 12:00:00,West Midlands,,2012-12-01 12:00:00
Purchasing Manager  Commodities,Silver Stone Search & Selection,5000.0,Permanent,Engineering,2013-11-14 12:00:00,Buckinghamshire,,2013-08-16 12:00:00
"Technical Underwriting Analyst, Redhill (Surrey)",Partnership,3000.0,Permanent,Finance and Accounting,2013-06-09 12:00:00,Redhill,,2013-03-11 12:00:00
Research Executive – Consumer Healthcare,BDJ Recruitment,2125.0,Permanent,"PR, Advertising and Marketing",2013-08-06 12:00:00,South East London,,2013-05-08 12:00:00
Childrens Palliative Care Nurse Leading Hospice,Elite Healthcare Recruitment,2328.5,Permanent,Healthcare and Nursing,2012-07-19 12:00:00,Kent,,2012-05-20 12:00:00
"ICA Commissioning Engineer, Water Sector",Rullion Build,3000.0,Permanent,Engineering,2013-08-12 12:00:00,North Lambeth,,2013-05-14 12:00:00
MECHANICAL DESIGN ENGINEERS  **** TO ****K,Ruth Wagstaff LLP,3000.0,Permanent,Engineering,2012-05-15 00:00:00,Lutterworth,,2012-02-15 00:00:00
Lighting Designer / Project Manager (Events),Creative Personnel,2916.67,Permanent,Engineering,2013-02-27 00:00:00,South East London,,2012-11-29 00:00:00
"Lettings Negotiator  South Woodford, London E****",ESTATE AGENCY PROFESSIONALS,2375.0,Permanent,Sales,2012-07-19 15:00:00,South East London,,2012-04-20 15:00:00
"Senior Lettings Neg  Kensington, Central London",ESTATE AGENCY PROFESSIONALS,3541.67,Permanent,Sales,2013-09-12 00:00:00,East Sheen,,2013-07-14 00:00:00
"Estate Agency Sales Negotiator  Epsom, Surrey ****k OTE",ESTATE AGENCY PROFESSIONALS,3333.33,Permanent,Sales,2012-12-23 00:00:00,Epsom,,2012-10-24 00:00:00
AV / VC Technical Sales Engineer,Creative Personnel,3250.0,Permanent,Engineering,2012-08-10 15:00:00,Berkshire,,2012-05-12 15:00:00
Senior Lettings Neg  ****k basic  Finchley Central,ESTATE AGENCY PROFESSIONALS,2708.33,Permanent,Sales,2013-02-04 12:00:00,North Lambeth,,2012-11-06 12:00:00
Care and Support Workers (Torbay),Somerset Care Ltd,1239.17,,Healthcare and Nursing,2012-02-12 00:00:00,Torquay,0.8 FTE,2012-01-13 00:00:00
Intermediate Mechanical Building Services Engineer,JP Recruitment,2708.33,Permanent,Engineering,2013-02-11 12:00:00,UK,,2012-12-13 12:00:00
Team manager  Assembly,PATERSON RECRUITMENT,2750.0,Permanent,Engineering,2013-06-04 12:00:00,Witney,,2013-05-05 12:00:00
Project Engineers / Site Managers,AndersElite,3166.67,Permanent,Engineering,2013-01-02 15:00:00,Portsmouth,,2012-12-03 15:00:00
Field Sales Executive / Area Sales Representative,Glen Callum Associates Ltd,2708.33,Permanent,Sales,2013-08-14 12:00:00,Reading,,2013-06-15 12:00:00
ELECTRONICS DESIGN ENGINEER  FPGA / ASIC / VHDL,ASC Connections Ltd,3208.33,Permanent,Engineering,2012-12-15 12:00:00,Staffordshire,,2012-09-16 12:00:00
Senior Care Workers  Blenheim Care Home,Agincare Group,1200.0,Permanent,Healthcare and Nursing,2013-11-14 12:00:00,Bournemouth,,2013-09-15 12:00:00
Maintenence Manager  Automation & Material Handling,Regional Recruitment Consultancy,3166.67,Permanent,Engineering,2012-12-06 15:00:00,UK,,2012-09-07 15:00:00
Business Development Manager – IT Sales – IT Managed Services – North,Howard Jackson,2291.67,Permanent,Sales,2013-07-27 12:00:00,North West London,,2013-06-27 12:00:00
Geotechnical Manager/Principal Geotechnical Engineer,JP Recruitment,2833.33,Permanent,Engineering,2013-03-09 00:00:00,Gloucester,,2012-12-09 00:00:00
NRSWA Inspector / Highways Inspector,BBL Recruitment,2560.0,Fixed Term Contract,Engineering,2013-05-03 00:00:00,East Sheen,,2013-04-19 00:00:00
"Care and Support Workers (Farnborough, Yateley and Fleet)",Somerset Care Ltd,1341.58,,Healthcare and Nursing,2012-07-10 00:00:00,Farnborough,0.2 FTE,2012-05-11 00:00:00
Qualified Social Worker  Mental Health  South East London / Kent,Just Specialist Recruitment,4400.0,Fixed Term Contract,Healthcare and Nursing,2012-09-27 12:00:00,Dartford,,2012-08-28 12:00:00
Let your voice be your fortune,CW Publishing,4666.67,Permanent,Sales,2013-02-07 12:00:00,North Lambeth,,2013-01-08 12:00:00
Store Supervisor in West London area,Roc Esso,1260.75,Permanent,Sales,2013-03-09 15:00:00,East Sheen,,2013-01-08 15:00:00
Business Account Manager  Waitrose  Home based  South,SmithCarey Recruitment,3958.33,Permanent,Sales,2012-12-25 12:00:00,Hampshire,,2012-11-25 12:00:00
Croatian speaking Lead Generator – Business Development,Talent Quest Limited,1440.0,Fixed Term Contract,Sales,2012-10-29 12:00:00,UK,,2012-08-30 12:00:00
"IT Helpdesk Analyst, excellent customer service",Spring Technology,1760.0,Fixed Term Contract,Information Technology,2012-03-28 12:00:00,Aberdeen,,2012-01-28 12:00:00
Field Service Engineer D****F****JB,Pioneer Selection,2916.67,Permanent,Engineering,2012-12-02 00:00:00,South East London,,2012-11-02 00:00:00
Senior Sous Chef – West Yorkshire  **** AA Rosettes,Taste Hospitality Recruitment,2333.33,Permanent,Hospitality and Catering,2012-03-21 12:00:00,West Yorkshire,,2012-01-21 12:00:00
Electrical Controls Engineer ****LM1BG,Pioneer Selection,3958.33,Permanent,Engineering,2013-08-05 00:00:00,UK,,2013-05-07 00:00:00
Venue Sales Commission only OTE's **** ,Axis Associate Consultants,2083.33,Permanent,Sales,2014-01-28 12:00:00,Kent,,2013-11-29 12:00:00
Maintenance engineer 2530M4CH,Pioneer Selection,2666.67,Permanent,Engineering,2013-10-06 00:00:00,UK,,2013-08-07 00:00:00
Maintenance Engineer 2529M4EN,Pioneer Selection,2625.0,Permanent,Engineering,2013-07-05 15:00:00,Wellingborough,,2013-05-06 15:00:00
Maintenance Engineer 2522M1BG,Pioneer Selection,2833.33,Permanent,Engineering,2013-10-29 00:00:00,Dartford,,2013-08-30 00:00:00
"Support Worker  Burnley, Rossendale, Preston, Chorley",Allied Healthcare,1120.0,Permanent,Healthcare and Nursing,2013-12-05 00:00:00,Burnley,,2013-10-06 00:00:00
Process Technologist  Food Manufacturing,Focus Management Consultants Ltd,1791.67,Permanent,Engineering,2013-05-29 00:00:00,Lincolnshire,,2013-03-30 00:00:00
Electrical Contracts Engineer  M&E Building Services,HumRes Recruitment,2500.0,Permanent,Engineering,2013-03-22 00:00:00,South East London,,2013-02-20 00:00:00
Trainee Recruitment Consultant or Experienced Consultant,Your Hired,2750.0,Permanent,Sales,2013-09-22 00:00:00,Tunbridge Wells,,2013-08-23 00:00:00
Industry Innovator seeks AV Product Manager,Creative Personnel,2416.67,Permanent,Sales,2013-08-10 00:00:00,Surrey,,2013-06-11 00:00:00
Tooling/Die Engineer  **** hrHalewood12 Month Contract,Jonathan Lee Automotive,3924.75,Fixed Term Contract,Engineering,2013-03-20 00:00:00,Merseyside,,2013-01-19 00:00:00
CNC Miller Operator / Programmer ****WRF,Pioneer Selection,1600.0,Fixed Term Contract,Engineering,2012-09-23 15:00:00,UK,,2012-07-25 15:00:00
Field Sales Executive (North Midlands region),DCA Recruitment,2208.33,Permanent,Sales,2013-07-28 00:00:00,UK,,2013-04-29 00:00:00
Sheet metal worker C****WLA,Pioneer Selection,1920.0,Fixed Term Contract,Engineering,2014-02-23 00:00:00,UK,,2013-12-25 00:00:00
Resourcer PSR****,Pioneer Selection,1333.33,Permanent,Sales,2013-12-08 15:00:00,UK,,2013-11-08 15:00:00
Assistant/Junior Project Manager  Design Background,Rise Technical Recruitment Ltd,2166.67,Permanent,Engineering,2012-05-29 00:00:00,Andover,,2012-02-29 00:00:00
Internal AV Account Manager,Creative Personnel,2041.67,Permanent,Sales,2012-12-18 00:00:00,Surrey,,2012-11-18 00:00:00
Purchasing Manager  Produce,Silver Stone Search & Selection,4583.33,Permanent,Engineering,2012-11-16 00:00:00,Buckinghamshire,,2012-10-17 00:00:00
Project Manager  Warwickshire,Additional Resources Ltd,3750.0,Permanent,Engineering,2014-02-22 15:00:00,Stratford-Upon-Avon,,2013-11-24 15:00:00
Production Manager  Leicester,Additional Resources Ltd,2083.33,Permanent,Engineering,2012-12-16 00:00:00,Leicestershire,,2012-10-17 00:00:00
Specification Sales  Luxury Homes Architects & Interior Designers  London,Additional Resources Ltd,2916.67,Permanent,Sales,2012-08-31 00:00:00,South East London,,2012-06-02 00:00:00
Service Engineer (Commercial Catering / Laundry Equipment)  Warwickshire,Additional Resources Ltd,3416.67,Permanent,Engineering,2012-09-23 00:00:00,Stratford-Upon-Avon,,2012-08-24 00:00:00
Service Engineer (Commercial Catering / Laundry Equipment)  Northamptonshire,Additional Resources Ltd,3416.67,Permanent,Engineering,2013-04-25 12:00:00,Northampton,,2013-02-24 12:00:00
Applications / Development Engineer  Essex,Additional Resources Ltd,2750.0,Permanent,Engineering,2012-04-30 15:00:00,UK,,2012-01-31 15:00:00
Service Engineer (Electrical)  Kent,Additional Resources Ltd,2500.0,Permanent,Engineering,2012-06-26 12:00:00,Maidstone,,2012-03-28 12:00:00
Podiatrist/Chiropodist  Nationwide,Additional Resources Ltd,1916.67,Permanent,Healthcare and Nursing,2012-10-03 15:00:00,UK,,2012-08-04 15:00:00
Product Specialist  Urology  UK Wide,Additional Resources Ltd,4541.67,Permanent,Sales,2012-10-06 12:00:00,UK,,2012-07-08 12:00:00
Field Sales Executive (South East region),DCA Recruitment,2208.33,Permanent,Sales,2012-04-30 12:00:00,South East London,,2012-01-31 12:00:00
NEW YEAR NEW CAREER System Engineer (m/f) – Automotive Products,Chase Resourcing Ltd,3333.33,Permanent,Engineering,2013-05-14 15:00:00,South East London,,2013-02-13 15:00:00
Maintenance Engineer (Permanent Nights)  Cambridgeshire,Additional Resources Ltd,3041.67,Permanent,Engineering,2012-06-23 00:00:00,UK,,2012-05-24 00:00:00
Plastic Injection Moulding Professionals – Automotive,Modern Business Solutions,3333.33,Permanent,Engineering,2012-08-11 15:00:00,North West London,,2012-07-12 15:00:00
All Levels of Care Assisstants Needed,Fern Global Ltd,4166.67,Permanent,Healthcare and Nursing,2012-05-31 15:00:00,Sheffield,,2012-05-01 15:00:00
Account Manager  Bristol,Additional Resources Ltd,2291.67,Permanent,Sales,2014-02-11 15:00:00,Avon,,2013-11-13 15:00:00
Business Development Manager Lighting  West Sussex,Additional Resources Ltd,2916.67,Permanent,Sales,2012-05-24 15:00:00,West Sussex,,2012-04-24 15:00:00
Senior/Principal Hydrologist/Modeller in Flood Risk Management  Sheff,England Associates,2708.33,Permanent,Engineering,2012-12-29 00:00:00,Sheffield,,2012-10-30 00:00:00
Deputy Manager  Worcester,Hammond Recruitment,1875.0,Permanent,Healthcare and Nursing,2012-04-01 00:00:00,Worcester,,2012-03-02 00:00:00
CAD Technician (Mechanical & Electrical Services)  Construction  Sot,England Associates,1645.83,Permanent,Engineering,2013-08-25 12:00:00,UK,,2013-05-27 12:00:00
FANTASTIC INSIDE SALES OPPORTUNITY UK MARKET,Vanty International,4291.67,Permanent,Sales,2012-04-19 12:00:00,UK,,2012-01-20 12:00:00
Technical Consultant ****k Active Directory VMware Linux SQL,Your Hired,2416.67,Permanent,Information Technology,2012-10-25 00:00:00,UK,,2012-07-27 00:00:00
Lead Engineer/Working Supervisor,Invictus Group,2875.0,Permanent,Engineering,2013-11-25 12:00:00,London,,2013-09-26 12:00:00
Assistant Buyer  FMCG Food Manufacturing,SCANTEC PERSONNEL LIMITED,2083.33,Permanent,Engineering,2012-05-07 00:00:00,Cornwall,,2012-02-07 00:00:00
Aftersales Manager / Customer Service Manager / Plant machinery,Regional Recruitment Consultancy,2291.67,Permanent,Engineering,2013-08-21 00:00:00,Leicestershire,,2013-06-22 00:00:00
Qualified Social Worker  CIN Team  Tunbridge Wells,Just Specialist Recruitment,4400.0,Fixed Term Contract,Healthcare and Nursing,2013-11-11 00:00:00,Tunbridge Wells,,2013-10-28 00:00:00
Recruitment Resourcer  Fluent Dutch  Recruitment Delivery Resourcer,TBS Recruitment Ltd,1583.33,Permanent,Sales,2012-12-08 00:00:00,UK,,2012-10-09 00:00:00
Sales Executive  Waste & Recycling,HumRes Recruitment,2291.67,Permanent,Sales,2013-07-07 00:00:00,South East London,,2013-04-08 00:00:00
Quality Assurance/Quality Control Advisors,Baltic Recruitment Services Ltd,4700.0,Fixed Term Contract,Engineering,2012-04-30 00:00:00,UK,,2012-03-01 00:00:00
Field Service Engineer  London  Temp to Perm,Concept IT,2200.0,Fixed Term Contract,Information Technology,2013-11-10 15:00:00,UK,,2013-10-27 15:00:00
Technical Sales Manager  Surrey,Prospero Recruitment,3333.33,Permanent,Engineering,2013-01-30 12:00:00,Surrey,,2012-12-01 12:00:00
Day Surgery & Pre Assessment Nurse,Serco,2167.5,Permanent,Healthcare and Nursing,2013-08-27 00:00:00,UK,,2013-07-28 00:00:00
Business Sales Development Managers,Fixed Recruitment,1958.33,Permanent,Sales,2013-08-18 00:00:00,Brighton,,2013-05-20 00:00:00
Sales Consultants  London  North,CSL,3125.0,Permanent,Sales,2012-09-19 12:00:00,North Lambeth,,2012-07-21 12:00:00
Sales Consultants  London  West,CSL,3125.0,Permanent,Sales,2013-11-29 00:00:00,East Sheen,,2013-09-30 00:00:00
Sales Consultants  London  East,CSL,3125.0,Permanent,Sales,2014-03-31 00:00:00,South East London,,2013-12-31 00:00:00
